A001Abano Terme
B116	Braies
B117	Brallo di Pregola
B118	Brancaleone
B120	Brandico
B121	Brandizzo
B123	Branzi
B124	Braone
B126	Brebbia
B128	Breda di Piave
B129	Castelverde
B131	Bregano
B132	Breganze
B134	Bregnano
B136	Breia
B137	Brembate
B138	Brembate di Sopra
B141	Brembio
B142	Breme
B143	Brendola
B144	Brenna
B145	Brennero
B149	Breno
B150	Brenta
B152	Brentino Belluno
B153	Brentonico
B154	Brenzone sul Garda
B156	Brescello
B157	Brescia
B158	Bresimo
B159	Bressana Bottarone
B160	Bressanone
B161	Bressanvido
B162	Bresso
B165	Brez
B166	Brezzo di Bedero
B167	Briaglia
B169	Briatico
B171	Bricherasio
B172	Brienno
B173	Brienza
B175	Briga Alta
B176	Briga Novarese
B178	Brignano Gera d'Adda
B179	Brignano-Frascata
B180	Brindisi
B181	Brindisi Montagna
B182	Brinzio
B183	Briona
B184	Brione
B187	Briosco
B188	Brisighella
B191	Brissago-Valtravaglia
B192	Brissogne
B193	Brittoli
B194	Brivio
B195	Broccostella
B196	Brogliano
B197	Brognaturo
B198	Brolo
B200	Brondello
B201	Broni
B202	Bronte
B203	Bronzolo
B204	Brossasco
B205	Brosso
B207	Brovello-Carpugnino
B209	Brozolo
B212	Brugherio
B213	Brugine
B214	Brugnato
B215	Brugnera
B216	Bruino
B217	Brumano
B218	Brunate
B219	Brunello
B220	Brunico
B221	Bruno
B223	Brusaporto
B225	Brusasco
B227	Brusciano
B228	Brusimpiano
B229	Brusnengo
B230	Brusson
B232	Bruzolo
B234	Bruzzano Zeffirio
B235	Bubbiano
B236	Bubbio
B237	Buccheri
B238	Bucchianico
B239	Bucciano
B240	Buccinasco
B242	Buccino
B243	Bucine
B246	Buddusò
B247	Budoia
B248	Budoni
B249	Budrio
B250	Buggerru
B251	Buggiano
B255	Buglio in Monte
B256	Bugnara
B258	Buguggiate
B259	Buja
B261	Bulciago
B262	Bulgarograsso
B264	Bultei
B265	Bulzi
B266	Buonabitacolo
B267	Buonalbergo
B268	Montebello sul Sangro
B269	Buonconvento
B270	Buonvicino
B272	Burago di Molgora
B274	Burcei
B275	Burgio
B276	Burgos
B278	Buriasco
B279	Burolo
B280	Buronzo
B281	Busachi
B282	Busalla
B284	Busano
B285	Busca
B286	Buscate
B287	Buscemi
B288	Buseto Palizzolo
B289	Busnago
B292	Bussero
B293	Busseto
B294	Bussi sul Tirino
B295	Busso
B296	Bussolengo
B297	Bussoleno
B300	Busto Arsizio
B301	Busto Garolfo
B302	Butera
B303	Buti
